No,Group,Future Enhancement Group,arXiv ID,Title,Original Quick Category,Implementation Angle,PDF URL,Pages,Bundle,Filename
3,G1,Quantum software engineering & code-generation agents,2606.24808,Large-Language-Model Discovery of Quantum LDPC Codes through Structured Concept Evolution,LLM quantum code generation / repair,Use an LLM research agent to propose quantum error-correcting code structures and verify constraints with automated algebraic/simulation checks.,https://arxiv.org/pdf/2606.24808,17,First 100,003_2606.24808.pdf
7,G1,Quantum software engineering & code-generation agents,2606.20173,Qiskit Code Migration with LLMs,LLM quantum code generation / repair,"Build a RAG + verifier loop for generating, migrating, debugging, and unit-testing Qiskit/OpenQASM/PennyLane circuits using simulator feedback.",https://arxiv.org/pdf/2606.20173,15,First 100,007_2606.20173.pdf
15,G1,Quantum software engineering & code-generation agents,2606.07314,QBugLM: An Agentic Benchmarking Framework for LLM-based Quantum Software Debugging,Agentic AI for quantum workflows,"Build a RAG + verifier loop for generating, migrating, debugging, and unit-testing Qiskit/OpenQASM/PennyLane circuits using simulator feedback.",https://arxiv.org/pdf/2606.07314,7,First 100,016_2606.07314.pdf
17,G1,Quantum software engineering & code-generation agents,2605.30358,QASM-Eval: A Dataset to Train and Evaluate LLMs on OpenQASM-3 Beyond Quantum Circuits,LLM quantum code generation / repair,"Build a RAG + verifier loop for generating, migrating, debugging, and unit-testing Qiskit/OpenQASM/PennyLane circuits using simulator feedback.",https://arxiv.org/pdf/2605.30358,24,First 100,018_2605.30358.pdf
20,G1,Quantum software engineering & code-generation agents,2605.25572,PennySynth: RAG-Driven Data Synthesis for Automated Quantum Code Generation,LLM quantum code generation / repair,"Adapt the method into a local LLM/GenAI project with RAG, simulator/tool calls, validation, and result logging.",https://arxiv.org/pdf/2605.25572,11,First 100,021_2605.25572.pdf
28,G1,Quantum software engineering & code-generation agents,2605.07525,Can LLMs Solve Science or Just Write Code? Evaluating Quantum Solver Generation,LLM quantum code generation / repair,"Adapt the method into a local LLM/GenAI project with RAG, simulator/tool calls, validation, and result logging.",https://arxiv.org/pdf/2605.07525,11,First 100,030_2605.07525.pdf
31,G1,Quantum software engineering & code-generation agents,2605.03943,Beyond Rules: LLM-Powered Linting for Quantum Programs,LLM quantum code generation / repair,"Build a RAG + verifier loop for generating, migrating, debugging, and unit-testing Qiskit/OpenQASM/PennyLane circuits using simulator feedback.",https://arxiv.org/pdf/2605.03943,11,First 100,033_2605.03943.pdf
36,G1,Quantum software engineering & code-generation agents,2604.23002,FormalScience: Scalable Human-in-the-Loop Autoformalisation of Science with Agentic Code Generation in Lean,Agentic AI for quantum workflows,Use an LLM + formal-verifier workflow where the agent drafts lemmas/proofs and Lean/Python checks reject invalid reasoning.,https://arxiv.org/pdf/2604.23002,19,First 100,038_2604.23002.pdf
48,G1,Quantum software engineering & code-generation agents,2604.04089,From Paper to Program: Externalizing and Diagnosing Knowledge Bottlenecks in AI-Assisted Quantum Many-Body Code Generation,LLM quantum code generation / repair,"Build a RAG + verifier loop for generating, migrating, debugging, and unit-testing Qiskit/OpenQASM/PennyLane circuits using simulator feedback.",https://arxiv.org/pdf/2604.04089,19,First 100,050_2604.04089.pdf
50,G1,Quantum software engineering & code-generation agents,2603.27836,Q-Bridge: Code Translation for Quantum Machine Learning via LLMs,LLM quantum code generation / repair,"Adapt the method into a local LLM/GenAI project with RAG, simulator/tool calls, validation, and result logging.",https://arxiv.org/pdf/2603.27836,26,First 100,052_2603.27836.pdf
56,G1,Quantum software engineering & code-generation agents,2603.22184,Revisiting Quantum Code Generation: Where Should Domain Knowledge Live?,LLM quantum code generation / repair,"Adapt the method into a local LLM/GenAI project with RAG, simulator/tool calls, validation, and result logging.",https://arxiv.org/pdf/2603.22184,17,First 100,058_2603.22184.pdf
59,G1,Quantum software engineering & code-generation agents,2603.15538,QiboAgent: a practitioner's guideline to open source assistants for Quantum Computing code development,Agentic AI for quantum workflows,"Adapt the method into a local LLM/GenAI project with RAG, simulator/tool calls, validation, and result logging.",https://arxiv.org/pdf/2603.15538,13,First 100,061_2603.15538.pdf
76,G1,Quantum software engineering & code-generation agents,2602.03466,Quantum Circuit Generation via test-time learning with large language models,LLM quantum code generation / repair,"Build a RAG + verifier loop for generating, migrating, debugging, and unit-testing Qiskit/OpenQASM/PennyLane circuits using simulator feedback.",https://arxiv.org/pdf/2602.03466,9,First 100,082_2602.03466.pdf
79,G1,Quantum software engineering & code-generation agents,2601.12273,Leveraging Mutation Analysis for LLM-based Repair of Quantum Programs,LLM quantum code generation / repair,"Build a RAG + verifier loop for generating, migrating, debugging, and unit-testing Qiskit/OpenQASM/PennyLane circuits using simulator feedback.",https://arxiv.org/pdf/2601.12273,6,First 100,085_2601.12273.pdf
83,G1,Quantum software engineering & code-generation agents,2601.02601,State of the Quantum Software Engineering Ecosystem,Quantum AI implementation reference,"Adapt the method into a local LLM/GenAI project with RAG, simulator/tool calls, validation, and result logging.",https://arxiv.org/pdf/2601.02601,8,First 100,090_2601.02601.pdf
95,G1,Quantum software engineering & code-generation agents,2511.21747,QuantumChem-200K: A Large-Scale Open Organic Molecular Dataset for Quantum-Chemistry Property Screening and Language Model Benchmarking,Quantum materials / chemistry GenAI,"Develop an agentic RAG workflow for quantum chemistry/materials simulation setup, parameter selection, error repair, and property prediction.",https://arxiv.org/pdf/2511.21747,9,First 100,102_2511.21747.pdf
97,G1,Quantum software engineering & code-generation agents,2511.15665,Quantum-Guided Test Case Minimization for LLM-Based Code Generation,LLM quantum code generation / repair,"Adapt the method into a local LLM/GenAI project with RAG, simulator/tool calls, validation, and result logging.",https://arxiv.org/pdf/2511.15665,2,First 100,104_2511.15665.pdf
100,G1,Quantum software engineering & code-generation agents,2511.04068,TXL Fusion: A Hybrid Machine Learning Framework Integrating Chemical Heuristics and Large Language Models for Topological Materials Discovery,Quantum materials / chemistry GenAI,"Develop an agentic RAG workflow for quantum chemistry/materials simulation setup, parameter selection, error repair, and property prediction.",https://arxiv.org/pdf/2511.04068,45,First 100,107_2511.04068.pdf
101,G1,Quantum software engineering & code-generation agents,2607.00939,Leveraging LLM-Based Agentic Systems to Generate Quantum Applications for Test Optimization,Agentic AI for quantum/scientific workflows,Create a RAG system over quantum SDK documentation and example circuits; retrieve examples before code generation and validate by running unit tests/simulators.,https://arxiv.org/pdf/2607.00939,17,Additional 50,papers/001_2607.00939.pdf
103,G1,Quantum software engineering & code-generation agents,2511.00092,QuantumBench: A Benchmark for Quantum Problem Solving,Benchmarks and reasoning for quantum/physics,"Use as an evaluation dataset: build a local LLM/agent pipeline that generates quantum code or answers quantum tasks, then score syntax, simulator output, and pass@k.",https://arxiv.org/pdf/2511.00092,11,Additional 50,papers/003_2511.00092.pdf
104,G1,Quantum software engineering & code-generation agents,2510.26101,QCoder Benchmark: Bridging Language Generation and Quantum Hardware through Simulator-Based Feedback,Quantum code generation / software engineering,"Use as an evaluation dataset: build a local LLM/agent pipeline that generates quantum code or answers quantum tasks, then score syntax, simulator output, and pass@k.",https://arxiv.org/pdf/2510.26101,10,Additional 50,papers/004_2510.26101.pdf
107,G1,Quantum software engineering & code-generation agents,2510.16779,QuanBench: Benchmarking Quantum Code Generation with Large Language Models,Quantum code generation / software engineering,"Use as an evaluation dataset: build a local LLM/agent pipeline that generates quantum code or answers quantum tasks, then score syntax, simulator output, and pass@k.",https://arxiv.org/pdf/2510.16779,13,Additional 50,papers/007_2510.16779.pdf
112,G1,Quantum software engineering & code-generation agents,2510.00967,QUASAR: Quantum Assembly Code Generation Using Tool-Augmented LLMs via Agentic RL,Quantum code generation / software engineering,"Implement an agentic quantum-programming assistant with planner, code generator, simulator, error-checker, and repair agents using Qiskit/PennyLane/OpenQASM.",https://arxiv.org/pdf/2510.00967,22,Additional 50,papers/012_2510.00967.pdf
122,G1,Quantum software engineering & code-generation agents,2508.21097,Model-Driven Quantum Code Generation Using Large Language Models and Retrieval-Augmented Generation,Quantum code generation / software engineering,"Implement an agentic quantum-programming assistant with planner, code generator, simulator, error-checker, and repair agents using Qiskit/PennyLane/OpenQASM.",https://arxiv.org/pdf/2508.21097,7,Additional 50,papers/022_2508.21097.pdf
124,G1,Quantum software engineering & code-generation agents,2508.20134,QAgent: An LLM-based Multi-Agent System for Autonomous OpenQASM Programming,Quantum code generation / software engineering,"Implement an agentic quantum-programming assistant with planner, code generator, simulator, error-checker, and repair agents using Qiskit/PennyLane/OpenQASM.",https://arxiv.org/pdf/2508.20134,17,Additional 50,papers/024_2508.20134.pdf
127,G1,Quantum software engineering & code-generation agents,2508.01918,Quantum-RAG and PunGPT2: Advancing Low-Resource Language Generation and Retrieval for the Punjabi Language,Quantum RAG / retrieval-augmented generation,Create a RAG system over quantum SDK documentation and example circuits; retrieve examples before code generation and validate by running unit tests/simulators.,https://arxiv.org/pdf/2508.01918,11,Additional 50,papers/027_2508.01918.pdf
129,G1,Quantum software engineering & code-generation agents,2507.19562,PennyCoder: Efficient Domain-Specific LLMs for PennyLane-Based Quantum Code Generation,Quantum code generation / software engineering,"Implement an agentic quantum-programming assistant with planner, code generator, simulator, error-checker, and repair agents using Qiskit/PennyLane/OpenQASM.",https://arxiv.org/pdf/2507.19562,6,Additional 50,papers/029_2507.19562.pdf
130,G1,Quantum software engineering & code-generation agents,2507.1248,LLM-Powered Quantum Code Transpilation,Quantum code generation / software engineering,"Implement an agentic quantum-programming assistant with planner, code generator, simulator, error-checker, and repair agents using Qiskit/PennyLane/OpenQASM.",https://arxiv.org/pdf/2507.12480,2,Additional 50,papers/030_2507.12480.pdf
131,G1,Quantum software engineering & code-generation agents,2507.12642,QSpark: Towards Reliable Qiskit Code Generation,Quantum code generation / software engineering,"Implement an agentic quantum-programming assistant with planner, code generator, simulator, error-checker, and repair agents using Qiskit/PennyLane/OpenQASM.",https://arxiv.org/pdf/2507.12642,12,Additional 50,papers/031_2507.12642.pdf
133,G1,Quantum software engineering & code-generation agents,2506.20008,QHackBench: Benchmarking Large Language Models for Quantum Code Generation Using PennyLane Hackathon Challenges,Quantum code generation / software engineering,"Use as an evaluation dataset: build a local LLM/agent pipeline that generates quantum code or answers quantum tasks, then score syntax, simulator output, and pass@k.",https://arxiv.org/pdf/2506.20008,7,Additional 50,papers/033_2506.20008.pdf
135,G1,Quantum software engineering & code-generation agents,2506.14535,Automatic Qiskit Code Refactoring Using Large Language Models,Quantum code generation / software engineering,"Implement an agentic quantum-programming assistant with planner, code generator, simulator, error-checker, and repair agents using Qiskit/PennyLane/OpenQASM.",https://arxiv.org/pdf/2506.14535,7,Additional 50,papers/035_2506.14535.pdf
147,G1,Quantum software engineering & code-generation agents,2504.14557,Enhancing LLM-based Quantum Code Generation with Multi-Agent Optimization and Quantum Error Correction,Quantum code generation / software engineering,"Implement an agentic quantum-programming assistant with planner, code generator, simulator, error-checker, and repair agents using Qiskit/PennyLane/OpenQASM.",https://arxiv.org/pdf/2504.14557,7,Additional 50,papers/047_2504.14557.pdf
148,G1,Quantum software engineering & code-generation agents,2504.11109,AGENT-Q: Fine-Tuning Large Language Models for Quantum Circuit Generation and Optimization,Quantum code generation / software engineering,"Experiment with quantum-inspired/quantum-classical modules for LLM fine-tuning, compression, or distillation; compare against LoRA/classical baselines.",https://arxiv.org/pdf/2504.11109,12,Additional 50,papers/048_2504.11109.pdf
