No,arXiv ID,Title,Implemented Prototype Component,Implementation Angle,PDF URL
3,2606.24808,Large-Language-Model Discovery of Quantum LDPC Codes through Structured Concept Evolution,Verification / quantum coding theory,Use an LLM research agent to propose quantum error-correcting code structures and verify constraints with automated algebraic/simulation checks.,https://arxiv.org/pdf/2606.24808
7,2606.20173,Qiskit Code Migration with LLMs,Debugging / repair loop,"Build a RAG + verifier loop for generating, migrating, debugging, and unit-testing Qiskit/OpenQASM/PennyLane circuits using simulator feedback.",https://arxiv.org/pdf/2606.20173
15,2606.07314,QBugLM: An Agentic Benchmarking Framework for LLM-based Quantum Software Debugging,Debugging / repair loop,"Build a RAG + verifier loop for generating, migrating, debugging, and unit-testing Qiskit/OpenQASM/PennyLane circuits using simulator feedback.",https://arxiv.org/pdf/2606.07314
17,2605.30358,QASM-Eval: A Dataset to Train and Evaluate LLMs on OpenQASM-3 Beyond Quantum Circuits,Debugging / repair loop,"Build a RAG + verifier loop for generating, migrating, debugging, and unit-testing Qiskit/OpenQASM/PennyLane circuits using simulator feedback.",https://arxiv.org/pdf/2605.30358
20,2605.25572,PennySynth: RAG-Driven Data Synthesis for Automated Quantum Code Generation,Quantum code generation / migration,"Adapt the method into a local LLM/GenAI project with RAG, simulator/tool calls, validation, and result logging.",https://arxiv.org/pdf/2605.25572
28,2605.07525,Can LLMs Solve Science or Just Write Code? Evaluating Quantum Solver Generation,Benchmarking and evaluation,"Adapt the method into a local LLM/GenAI project with RAG, simulator/tool calls, validation, and result logging.",https://arxiv.org/pdf/2605.07525
31,2605.03943,Beyond Rules: LLM-Powered Linting for Quantum Programs,Debugging / repair loop,"Build a RAG + verifier loop for generating, migrating, debugging, and unit-testing Qiskit/OpenQASM/PennyLane circuits using simulator feedback.",https://arxiv.org/pdf/2605.03943
36,2604.23002,FormalScience: Scalable Human-in-the-Loop Autoformalisation of Science with Agentic Code Generation in Lean,Quantum code generation / migration,Use an LLM + formal-verifier workflow where the agent drafts lemmas/proofs and Lean/Python checks reject invalid reasoning.,https://arxiv.org/pdf/2604.23002
48,2604.04089,From Paper to Program: Externalizing and Diagnosing Knowledge Bottlenecks in AI-Assisted Quantum Many-Body Code Generation,Debugging / repair loop,"Build a RAG + verifier loop for generating, migrating, debugging, and unit-testing Qiskit/OpenQASM/PennyLane circuits using simulator feedback.",https://arxiv.org/pdf/2604.04089
50,2603.27836,Q-Bridge: Code Translation for Quantum Machine Learning via LLMs,RAG knowledge base,"Adapt the method into a local LLM/GenAI project with RAG, simulator/tool calls, validation, and result logging.",https://arxiv.org/pdf/2603.27836
56,2603.22184,Revisiting Quantum Code Generation: Where Should Domain Knowledge Live?,Quantum code generation / migration,"Adapt the method into a local LLM/GenAI project with RAG, simulator/tool calls, validation, and result logging.",https://arxiv.org/pdf/2603.22184
59,2603.15538,QiboAgent: a practitioner's guideline to open source assistants for Quantum Computing code development,RAG knowledge base,"Adapt the method into a local LLM/GenAI project with RAG, simulator/tool calls, validation, and result logging.",https://arxiv.org/pdf/2603.15538
76,2602.03466,Quantum Circuit Generation via test-time learning with large language models,Debugging / repair loop,"Build a RAG + verifier loop for generating, migrating, debugging, and unit-testing Qiskit/OpenQASM/PennyLane circuits using simulator feedback.",https://arxiv.org/pdf/2602.03466
79,2601.12273,Leveraging Mutation Analysis for LLM-based Repair of Quantum Programs,Debugging / repair loop,"Build a RAG + verifier loop for generating, migrating, debugging, and unit-testing Qiskit/OpenQASM/PennyLane circuits using simulator feedback.",https://arxiv.org/pdf/2601.12273
83,2601.02601,State of the Quantum Software Engineering Ecosystem,RAG knowledge base,"Adapt the method into a local LLM/GenAI project with RAG, simulator/tool calls, validation, and result logging.",https://arxiv.org/pdf/2601.02601
95,2511.21747,QuantumChem-200K: A Large-Scale Open Organic Molecular Dataset for Quantum-Chemistry Property Screening and Language Model Benchmarking,Debugging / repair loop,"Develop an agentic RAG workflow for quantum chemistry/materials simulation setup, parameter selection, error repair, and property prediction.",https://arxiv.org/pdf/2511.21747
97,2511.15665,Quantum-Guided Test Case Minimization for LLM-Based Code Generation,Quantum code generation / migration,"Adapt the method into a local LLM/GenAI project with RAG, simulator/tool calls, validation, and result logging.",https://arxiv.org/pdf/2511.15665
100,2511.04068,TXL Fusion: A Hybrid Machine Learning Framework Integrating Chemical Heuristics and Large Language Models for Topological Materials Discovery,Debugging / repair loop,"Develop an agentic RAG workflow for quantum chemistry/materials simulation setup, parameter selection, error repair, and property prediction.",https://arxiv.org/pdf/2511.04068
101,2607.00939,Leveraging LLM-Based Agentic Systems to Generate Quantum Applications for Test Optimization,Quantum code generation / migration,Create a RAG system over quantum SDK documentation and example circuits; retrieve examples before code generation and validate by running unit tests/simulators.,https://arxiv.org/pdf/2607.00939
103,2511.00092,QuantumBench: A Benchmark for Quantum Problem Solving,Benchmarking and evaluation,"Use as an evaluation dataset: build a local LLM/agent pipeline that generates quantum code or answers quantum tasks, then score syntax, simulator output, and pass@k.",https://arxiv.org/pdf/2511.00092
104,2510.26101,QCoder Benchmark: Bridging Language Generation and Quantum Hardware through Simulator-Based Feedback,Quantum code generation / migration,"Use as an evaluation dataset: build a local LLM/agent pipeline that generates quantum code or answers quantum tasks, then score syntax, simulator output, and pass@k.",https://arxiv.org/pdf/2510.26101
107,2510.16779,QuanBench: Benchmarking Quantum Code Generation with Large Language Models,Quantum code generation / migration,"Use as an evaluation dataset: build a local LLM/agent pipeline that generates quantum code or answers quantum tasks, then score syntax, simulator output, and pass@k.",https://arxiv.org/pdf/2510.16779
112,2510.00967,QUASAR: Quantum Assembly Code Generation Using Tool-Augmented LLMs via Agentic RL,Debugging / repair loop,"Implement an agentic quantum-programming assistant with planner, code generator, simulator, error-checker, and repair agents using Qiskit/PennyLane/OpenQASM.",https://arxiv.org/pdf/2510.00967
122,2508.21097,Model-Driven Quantum Code Generation Using Large Language Models and Retrieval-Augmented Generation,Debugging / repair loop,"Implement an agentic quantum-programming assistant with planner, code generator, simulator, error-checker, and repair agents using Qiskit/PennyLane/OpenQASM.",https://arxiv.org/pdf/2508.21097
124,2508.20134,QAgent: An LLM-based Multi-Agent System for Autonomous OpenQASM Programming,Debugging / repair loop,"Implement an agentic quantum-programming assistant with planner, code generator, simulator, error-checker, and repair agents using Qiskit/PennyLane/OpenQASM.",https://arxiv.org/pdf/2508.20134
127,2508.01918,Quantum-RAG and PunGPT2: Advancing Low-Resource Language Generation and Retrieval for the Punjabi Language,Quantum code generation / migration,Create a RAG system over quantum SDK documentation and example circuits; retrieve examples before code generation and validate by running unit tests/simulators.,https://arxiv.org/pdf/2508.01918
129,2507.19562,PennyCoder: Efficient Domain-Specific LLMs for PennyLane-Based Quantum Code Generation,Debugging / repair loop,"Implement an agentic quantum-programming assistant with planner, code generator, simulator, error-checker, and repair agents using Qiskit/PennyLane/OpenQASM.",https://arxiv.org/pdf/2507.19562
130,2507.1248,LLM-Powered Quantum Code Transpilation,Debugging / repair loop,"Implement an agentic quantum-programming assistant with planner, code generator, simulator, error-checker, and repair agents using Qiskit/PennyLane/OpenQASM.",https://arxiv.org/pdf/2507.12480
131,2507.12642,QSpark: Towards Reliable Qiskit Code Generation,Debugging / repair loop,"Implement an agentic quantum-programming assistant with planner, code generator, simulator, error-checker, and repair agents using Qiskit/PennyLane/OpenQASM.",https://arxiv.org/pdf/2507.12642
133,2506.20008,QHackBench: Benchmarking Large Language Models for Quantum Code Generation Using PennyLane Hackathon Challenges,Quantum code generation / migration,"Use as an evaluation dataset: build a local LLM/agent pipeline that generates quantum code or answers quantum tasks, then score syntax, simulator output, and pass@k.",https://arxiv.org/pdf/2506.20008
135,2506.14535,Automatic Qiskit Code Refactoring Using Large Language Models,Debugging / repair loop,"Implement an agentic quantum-programming assistant with planner, code generator, simulator, error-checker, and repair agents using Qiskit/PennyLane/OpenQASM.",https://arxiv.org/pdf/2506.14535
147,2504.14557,Enhancing LLM-based Quantum Code Generation with Multi-Agent Optimization and Quantum Error Correction,Debugging / repair loop,"Implement an agentic quantum-programming assistant with planner, code generator, simulator, error-checker, and repair agents using Qiskit/PennyLane/OpenQASM.",https://arxiv.org/pdf/2504.14557
148,2504.11109,AGENT-Q: Fine-Tuning Large Language Models for Quantum Circuit Generation and Optimization,Agent framework / workflow,"Experiment with quantum-inspired/quantum-classical modules for LLM fine-tuning, compression, or distillation; compare against LoRA/classical baselines.",https://arxiv.org/pdf/2504.11109
