iteration,candidate_cost,best_cost,p_layers
0,2.059270305532883,2.059270305532883,2
1,2.8018123646986535,2.8018123646986535,2
2,2.816127372257249,2.816127372257249,1
3,2.0073996937784035,2.816127372257249,1
4,2.356074726693851,2.816127372257249,1
5,2.3440664082116016,2.816127372257249,2
6,3.189325093559086,3.189325093559086,2
7,2.256301626297205,3.189325093559086,1
8,2.3038245097833876,3.189325093559086,2
9,3.0114959028245165,3.189325093559086,2
10,2.4419037134781334,3.189325093559086,1
11,1.5715411901778005,3.189325093559086,1
12,2.918266393285004,3.189325093559086,1
13,2.2198806309697905,3.189325093559086,2
14,2.6911103907029807,3.189325093559086,2
15,1.5935978487727223,3.189325093559086,2
16,2.6247676480570385,3.189325093559086,2
17,2.8558018598129546,3.189325093559086,2
18,3.2050415011954385,3.2050415011954385,2
19,2.7516712320304197,3.2050415011954385,1
20,2.1119236798899843,3.2050415011954385,2
21,3.038910712097442,3.2050415011954385,1
22,2.8339096057715683,3.2050415011954385,2
23,2.804637141957331,3.2050415011954385,2
24,3.0868730268380524,3.2050415011954385,2
25,2.3104532591133258,3.2050415011954385,1
26,1.3092987071067586,3.2050415011954385,2
27,1.9129180189545605,3.2050415011954385,1
28,1.300085882660042,3.2050415011954385,1
29,2.0334958261942195,3.2050415011954385,2
30,1.8971998154461958,3.2050415011954385,2
31,2.4900114978719863,3.2050415011954385,2
32,3.3950500584934717,3.3950500584934717,2
33,3.1022616837717134,3.3950500584934717,1
34,2.364008703311245,3.3950500584934717,2
35,2.733022234608566,3.3950500584934717,1
36,2.315033038234433,3.3950500584934717,1
37,1.8805045727083656,3.3950500584934717,2
38,2.3460894110625086,3.3950500584934717,2
39,1.9840428414439393,3.3950500584934717,2
40,2.898013005640157,3.3950500584934717,2
41,2.6767767588457394,3.3950500584934717,1
42,2.9598409489025572,3.3950500584934717,2
43,2.401094369604458,3.3950500584934717,1
44,2.5244828369069663,3.3950500584934717,2
45,2.5326182593361124,3.3950500584934717,2
46,2.502435470712873,3.3950500584934717,1
47,2.828946688074098,3.3950500584934717,1
48,1.4259735567892584,3.3950500584934717,2
49,2.3263388551408943,3.3950500584934717,2
50,3.0171612240296186,3.3950500584934717,1
51,1.4514291109390665,3.3950500584934717,1
52,2.193996180049149,3.3950500584934717,1
53,2.3021510075071188,3.3950500584934717,1
54,2.6062577497351196,3.3950500584934717,1
55,3.0417930512188533,3.3950500584934717,1
56,1.3998255630358187,3.3950500584934717,1
57,2.461218463249166,3.3950500584934717,2
58,2.5750922594206958,3.3950500584934717,1
59,1.6399611361195119,3.3950500584934717,1
60,1.5510306162854866,3.3950500584934717,1
61,2.757597374869272,3.3950500584934717,2
62,2.8801636968500324,3.3950500584934717,1
63,2.198949196734775,3.3950500584934717,1
64,2.863058339798118,3.3950500584934717,1
65,2.317563533328416,3.3950500584934717,2
66,2.4999776957997013,3.3950500584934717,1
67,2.864599953425384,3.3950500584934717,2
68,1.3047840569691709,3.3950500584934717,2
69,2.702200871309964,3.3950500584934717,1
70,2.9082858236467906,3.3950500584934717,1
71,2.782960678290827,3.3950500584934717,2
72,2.4369200897696204,3.3950500584934717,1
73,3.2552983451333355,3.3950500584934717,1
74,2.68315916048273,3.3950500584934717,2
75,2.7218896788794242,3.3950500584934717,1
76,1.7145485812167813,3.3950500584934717,2
77,2.036141915551631,3.3950500584934717,2
78,1.622526768700318,3.3950500584934717,1
79,2.160759095545081,3.3950500584934717,2
80,2.372725233028879,3.3950500584934717,2
81,2.601898485401042,3.3950500584934717,1
82,0.9047921800141919,3.3950500584934717,2
83,2.564774502674716,3.3950500584934717,2
84,1.5019684063496554,3.3950500584934717,1
85,2.391492940969324,3.3950500584934717,2
86,2.088490675670591,3.3950500584934717,1
87,2.1516781463380314,3.3950500584934717,1
88,1.630722865960577,3.3950500584934717,1
89,2.5877021646925957,3.3950500584934717,2
90,1.36763331562453,3.3950500584934717,1
91,2.5790461598522127,3.3950500584934717,1
92,2.4374035861705736,3.3950500584934717,1
93,2.91872297249662,3.3950500584934717,2
94,2.643589622545919,3.3950500584934717,1
95,2.3452103154544286,3.3950500584934717,1
96,1.0645666185447693,3.3950500584934717,1
97,2.434457825683523,3.3950500584934717,2
98,3.051329068742899,3.3950500584934717,1
99,2.3386200997486104,3.3950500584934717,1
100,2.701699858501909,3.3950500584934717,1
101,2.6520151238927356,3.3950500584934717,2
102,1.8418913127504335,3.3950500584934717,2
103,3.0040022533817368,3.3950500584934717,2
104,1.7708322202688933,3.3950500584934717,2
105,2.601489073379292,3.3950500584934717,1
106,2.8488484214041887,3.3950500584934717,1
107,2.2593799156237204,3.3950500584934717,1
108,2.647303287536439,3.3950500584934717,1
109,2.385732874056242,3.3950500584934717,1
110,2.5356512138639187,3.3950500584934717,2
111,2.6831612267121154,3.3950500584934717,2
112,2.4412084757941663,3.3950500584934717,2
113,2.21259497061135,3.3950500584934717,2
114,2.854551225914592,3.3950500584934717,2
115,1.8728550895782126,3.3950500584934717,1
116,2.404759289925824,3.3950500584934717,1
117,2.6632581162440565,3.3950500584934717,1
118,2.0481276487347517,3.3950500584934717,2
119,2.499215296335473,3.3950500584934717,2
120,1.4490626777897557,3.3950500584934717,1
121,3.0362852319091385,3.3950500584934717,2
122,1.742580381236413,3.3950500584934717,2
123,2.0614158734404957,3.3950500584934717,2
124,2.399225929443159,3.3950500584934717,1
125,1.890981825151441,3.3950500584934717,2
126,1.5860147241897784,3.3950500584934717,1
127,2.088785387060551,3.3950500584934717,1
128,2.000122788954248,3.3950500584934717,2
129,3.0020854128883068,3.3950500584934717,2
130,2.493785242228468,3.3950500584934717,1
131,2.858056817876699,3.3950500584934717,1
132,3.1767154292467543,3.3950500584934717,1
133,1.4577035051079519,3.3950500584934717,1
134,3.075060417690477,3.3950500584934717,2
135,2.4819108855020735,3.3950500584934717,1
136,2.312668444667496,3.3950500584934717,2
137,2.082918350390743,3.3950500584934717,2
138,2.355812047931029,3.3950500584934717,2
139,1.4549645061294603,3.3950500584934717,1
140,2.87942357425676,3.3950500584934717,2
141,2.2916593188050802,3.3950500584934717,2
142,2.3635259735137795,3.3950500584934717,1
143,1.8831755299109139,3.3950500584934717,1
144,2.159637824242282,3.3950500584934717,1
145,2.8492117743318626,3.3950500584934717,2
146,2.3978915653805126,3.3950500584934717,2
147,3.0329699992456227,3.3950500584934717,1
148,2.3386617466679485,3.3950500584934717,1
149,2.650483307747335,3.3950500584934717,1
150,1.7906580561414842,3.3950500584934717,1
151,2.3480072105705,3.3950500584934717,2
152,2.8728130101007583,3.3950500584934717,1
153,2.4782665038708815,3.3950500584934717,1
154,2.9028107490870427,3.3950500584934717,2
155,1.7354686142590041,3.3950500584934717,2
156,2.202216098319871,3.3950500584934717,2
157,2.6956340342260265,3.3950500584934717,2
158,2.9200356116891686,3.3950500584934717,1
159,2.1469338028577347,3.3950500584934717,2
160,2.7367477695177707,3.3950500584934717,2
161,3.3496903074267816,3.3950500584934717,2
162,3.162798768036938,3.3950500584934717,2
163,3.4915014925815706,3.4915014925815706,2
164,2.72380347129436,3.4915014925815706,2
165,3.1754432027861927,3.4915014925815706,2
166,2.425454580064342,3.4915014925815706,2
167,3.001135433100153,3.4915014925815706,2
168,3.336602731544511,3.4915014925815706,2
169,2.7338958336860766,3.4915014925815706,2
170,3.5421841724975502,3.5421841724975502,2
171,3.433521131543703,3.5421841724975502,2
172,3.428300977876354,3.5421841724975502,2
173,3.5189100451874453,3.5421841724975502,2
174,3.475741146708664,3.5421841724975502,2
175,3.1401249112440603,3.5421841724975502,2
176,3.395482306799335,3.5421841724975502,2
177,3.0632959734658836,3.5421841724975502,2
178,3.626121544231699,3.626121544231699,2
179,3.3519524849468008,3.626121544231699,2
180,3.5216434652698827,3.626121544231699,2
181,3.8089082693866896,3.8089082693866896,2
182,3.4808666308877543,3.8089082693866896,2
183,3.6921143348723575,3.8089082693866896,2
184,3.6685807690577086,3.8089082693866896,2
185,3.6566948449677104,3.8089082693866896,2
186,3.7587776117005047,3.8089082693866896,2
187,3.781660330236157,3.8089082693866896,2
188,3.8365543488912124,3.8365543488912124,2
189,3.4558721306668665,3.8365543488912124,2
190,3.6021601474682345,3.8365543488912124,2
191,3.3940166280315935,3.8365543488912124,2
192,3.702718311865279,3.8365543488912124,2
193,3.766866762412352,3.8365543488912124,2
194,3.691446187178005,3.8365543488912124,2
195,3.82581879019673,3.8365543488912124,2
196,3.697276429286973,3.8365543488912124,2
197,3.604299067133879,3.8365543488912124,2
198,3.6494557440427653,3.8365543488912124,2
199,3.5959352068613573,3.8365543488912124,2
200,3.4740771019523753,3.8365543488912124,2
201,3.8063345627707648,3.8365543488912124,2
202,3.8208211377759485,3.8365543488912124,2
203,3.508273571385412,3.8365543488912124,2
204,3.553084919934628,3.8365543488912124,2
205,3.6760313722348084,3.8365543488912124,2
206,3.523032697363844,3.8365543488912124,2
207,3.8213496480491544,3.8365543488912124,2
208,3.6282517984493317,3.8365543488912124,2
209,3.592443363725715,3.8365543488912124,2
210,3.758998371110625,3.8365543488912124,2
211,3.834208235442505,3.8365543488912124,2
212,3.67555174260041,3.8365543488912124,2
213,3.8318352114199468,3.8365543488912124,2
214,3.8280178058139263,3.8365543488912124,2
215,3.71262678354406,3.8365543488912124,2
216,3.4599047569149723,3.8365543488912124,2
217,3.7751224710587508,3.8365543488912124,2
218,3.7845693710143227,3.8365543488912124,2
219,3.578308917926694,3.8365543488912124,2
220,3.859752571606136,3.859752571606136,2
221,3.746446055200481,3.859752571606136,2
222,3.8174150814921557,3.859752571606136,2
223,3.799492025608572,3.859752571606136,2
224,3.7973343257883725,3.859752571606136,2
225,3.807516774182463,3.859752571606136,2
226,3.8225176837394055,3.859752571606136,2
227,3.7257986891232266,3.859752571606136,2
228,3.8533789141306425,3.859752571606136,2
229,3.8387335174825954,3.859752571606136,2
230,3.7515269371287676,3.859752571606136,2
231,3.8068833705761627,3.859752571606136,2
232,3.8554285971027915,3.859752571606136,2
233,3.834556051871661,3.859752571606136,2
234,3.8524028822665106,3.859752571606136,2
235,3.8427557362007754,3.859752571606136,2
236,3.816112146196994,3.859752571606136,2
237,3.8209693580714,3.859752571606136,2
238,3.6386650414615387,3.859752571606136,2
239,3.812420629564693,3.859752571606136,2
